Name,ID,urlSlug,birthDate,disciplines
Faki MOHAMED,15108062,https://worldathletics.org/athletes/qatar/faki-mohamed-15108062,,Long Jump
Tameem AL TEMIMI,15039268,https://worldathletics.org/athletes/qatar/tameem-al-temimi-15039268,2006-08-01 00:00:00,"100 Metres, 200 Metres, 60 Metres"
Eltayeb ABDELGADIR,15140412,https://worldathletics.org/athletes/qatar/abdelgadir-eltayeb-15140412,2004-09-30 00:00:00,"High Jump, Long Jump"
Adam ABDULQADER,15157310,https://worldathletics.org/athletes/qatar/adam-abdulqader-15157310,,400 Metres
Mubarak Abdulla AL-NOUBI,15089243,https://worldathletics.org/athletes/qatar/mubarak-abdulla-al-noubi-15089243,2006-03-14 00:00:00,"60m Hurdles (91.4cm), 110m Hurdles (99.0cm), 110m Hurdles (91.4cm)"
Mohsin Faisal ABDELRAHIM,15140411,https://worldathletics.org/athletes/qatar/mohsin-faisal-abdelrahim-15140411,2007-06-29 00:00:00,Long Jump
Mohamed ALI NOFAL,15081820,https://worldathletics.org/athletes/qatar/mohamed-aly-noufal-15081820,2005-08-14 00:00:00,"Triple Jump, Long Jump"
Rizwan Ahmed HUSSAIN MANAR,15108004,https://worldathletics.org/athletes/qatar/rizwan-ahmed-hussain-manar-15108004,,Javelin Throw
Ahmed AL IMAM,14218988,https://worldathletics.org/athletes/qatar/ahmed-al-imam-014218988,1982,"800 Metres, 400 Metres, 4x400 Metres Relay"
Nasser Meziane BRAHIMI,14219026,https://worldathletics.org/athletes/qatar/nasser-meziane-brahimi-014219026,1984,"110m Hurdles (91.4cm), 110 Metres Hurdles, 60 Metres Hurdles"
Ibrahim HAMDAN,15086775,https://worldathletics.org/athletes/qatar/ibrahim-haydar-abdalla-15086775,2006-07-21 00:00:00,"4x800 Metres Relay Short Track, 800 Metres, 800 Metres Short Track"
Aboubakar HASSAN,15140413,https://worldathletics.org/athletes/qatar/aboubakar-hassan-15140413,2008-07-25 00:00:00,"High Jump, Long Jump"
Mohammed HASSAN,15091204,https://worldathletics.org/athletes/qatar/mohammed-hassan-15091204,,400 Metres
Abderrahman SAMBA,14752208,https://worldathletics.org/athletes/qatar/abderrahman-samba-14752208,1995-09-05 00:00:00,"400 Metres Hurdles, 400 Metres, 4x400 Metres Relay"
Abdrahman ABAKAR,15039162,https://worldathletics.org/athletes/qatar/mahamat-abakar-abdrahman-15039162,2006-04-17 00:00:00,"300 Metres Hurdles (84.0cm), 400 Metres Hurdles, 400m hurdles (84.0cm)"
Ahmad Hamdan Abou JALALA,14219051,https://worldathletics.org/athletes/qatar/ahmad-hamdan-abou-jalala-014219051,1982-12-24 00:00:00,"Javelin Throw, Javelin Throw (700g)"
Mohamed MUSSA,15135761,https://worldathletics.org/athletes/qatar/mohamed-mussa-15135761,,"400 Metres, 200 Metres"
Mohamed Ibrahim AL KHALIFA,14218991,https://worldathletics.org/athletes/qatar/mohamed-ibrahim-al-khalifa-014218991,1981-12-25 00:00:00,"Javelin Throw, Javelin Throw (700g)"
Bassem HEMEIDA,14827001,https://worldathletics.org/athletes/qatar/bassem-hemeida-14827001,2000-03-28 00:00:00,"400 Metres Hurdles, 400 Metres, 4x400 Metres Relay"
Samer Moosa HASSAN,15157303,https://worldathletics.org/athletes/qatar/samer-moosa-hassan-15157303,2008-05-01 00:00:00,"400 Metres Short Track, 200 Metres Short Track, 300 Metres Short Track"
Sami .,15157316,https://worldathletics.org/athletes/qatar/sami-15157316,,400 Metres
Nayef AL RASHIDI,14972122,https://worldathletics.org/athletes/qatar/nayef-mubarak-al-rashidi-14972122,2004-01-25 00:00:00,"110m Hurdles (91.4cm), 110m Hurdles (99.0cm), 100 Metres"
Femi OGUNODE,14330343,https://worldathletics.org/athletes/qatar/femi-ogunode-14330343,1991-05-15 00:00:00,"100 Metres, 200 Metres, 400 Metres"
Faki MAHAMAT,15091209,https://worldathletics.org/athletes/qatar/faki-mahamat-15091209,2006-04-15 00:00:00,"Triple Jump, Long Jump"
Zakaria AL ALHLAMI,14953831,https://worldathletics.org/athletes/qatar/zakaria-al-alhlami-14953831,2004-07-07 00:00:00,"1500 Metres, 800 Metres, 3000 Metres Steeplechase"
Yaser Salem BAGHARAB,14651434,https://worldathletics.org/athletes/qatar/yaser-salem-bagharab-14651434,1998-01-01 00:00:00,"3000 Metres Steeplechase, 5000 Metres, 1500 Metres"
Hamza DRIOUCH,14408590,https://worldathletics.org/athletes/qatar/hamza-driouch-014408590,1994-11-16 00:00:00,"1500 Metres, 800 Metres, 1500 Metres Short Track"
Asad HASSAN,14218968,https://worldathletics.org/athletes/qatar/ahmad-hassan-abdullah-014218968,1981-04-04 00:00:00,"10,000 Metres, 5000 Metres, 3000 Metres"
Hawari AHMED,14375309,https://worldathletics.org/athletes/qatar/mohamed-ahmed-al-mannai-014375309,1992-09-12 00:00:00,"Octathlon Boys, Long Jump, Decathlon"
Suleiman Abdisalan BARKAD,15105801,https://worldathletics.org/athletes/qatar/suleiman-abdisalan-barkad-15105801,2006-05-04 00:00:00,"1500 Metres, 3000 Metres"
Maizen ALI,15076373,https://worldathletics.org/athletes/qatar/maizen-ali-15076373,2005-12-13 00:00:00,"4x400 Metres Relay, 400 Metres, 200 Metres"
Mohammed MOHAMOUD,15147852,https://worldathletics.org/athletes/qatar/mohammed-mohamoud-15147852,2004-02-29 00:00:00,3000 Metres
